title,avail_global,date_release,hours_viewed,language,year,months_out,views_per_month,series
F is for Family: Season 2,Yes,2017-05-30,6.5,English,2017.0,74.0,0.08783783783783784,F is for Family
Jurassic World: Dominion,No,,6.5,English,,,,Jurassic World: Dominion
Great British Baking Show: Juniors: Season 6,No,2022-08-17,6.5,English,2022.0,11.0,0.5909090909090909,Great British Baking Show: Juniors
Pinocchio: Season 1,No,,6.5,Korean,,,,Pinocchio
"Meet, Marry, Murder: Season 2",No,,6.5,English,,,,"Meet, Marry, Murder"
Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,Yes,2021-09-22,6.5,English,2021.0,22.0,0.29545454545454547,Monsters Inside: The 24 Faces of Billy Milligan: Limited Series
It (2017),No,,6.5,English,,,,It (2017)
iCarly (2007): Season 4,No,,6.5,English,,,,iCarly (2007)
Hypnotic,Yes,2021-10-27,6.5,English,2021.0,20.0,0.325,Hypnotic
Handsome Siblings: Season 1,No,2020-01-16,6.5,Korean,2020.0,42.0,0.15476190476190477,Handsome Siblings
The Shannara Chronicles: Season 1,No,,6.4,English,,,,The Shannara Chronicles
The Bombardment,Yes,2022-03-09,6.4,da,2022.0,16.0,0.4,The Bombardment
The Boy (2016),No,,6.4,English,,,,The Boy (2016)
The Craigslist Killer,No,,6.4,English,,,,The Craigslist Killer
The Defeated: Season 1,Yes,2021-08-18,6.4,English,2021.0,23.0,0.2782608695652174,The Defeated
The Girl with All the Gifts,No,2017-05-25,6.4,English,2017.0,74.0,0.08648648648648649,The Girl with All the Gifts
The Magic School Bus: Season 1,No,,6.4,English,,,,The Magic School Bus
This Is Us: Season 6,No,,6.4,English,,,,This Is Us
The Sound of Magic: Limited Series,Yes,2022-05-06,6.4,Korean,2022.0,14.0,0.4571428571428572,The Sound of Magic: Limited Series
The Star (2017),No,,6.4,English,,,,The Star (2017)
The Woman in the Window,Yes,2021-05-14,6.4,English,2021.0,26.0,0.24615384615384617,The Woman in the Window
There's Someone Inside Your House,Yes,2021-10-06,6.4,English,2021.0,21.0,0.3047619047619048,There's Someone Inside Your House
Trailer Park Boys: Season 9,Yes,2015-03-26,6.4,English,2015.0,101.0,0.06336633663366337,Trailer Park Boys
What Happened to Monday,No,2017-08-18,6.4,English,2017.0,71.0,0.09014084507042254,What Happened to Monday
Search WWW,No,,6.4,Korean,,,,Search WWW
The Barrier: Season 1,No,2020-09-11,6.4,Spanish,2020.0,34.0,0.18823529411764706,The Barrier
The Kingdom: Season 1,Yes,2021-08-12,6.4,Spanish,2021.0,23.0,0.2782608695652174,The Kingdom
Sausage Party,No,,6.4,English,,,,Sausage Party
Double Dad,Yes,2021-01-15,6.4,Portuguese,2021.0,30.0,0.21333333333333335,Double Dad
Resident Evil: Apocalypse,No,,6.4,English,,,,Resident Evil: Apocalypse
All Day and a Night,Yes,2020-05-01,6.4,English,2020.0,38.0,0.16842105263157894,All Day and a Night
Bastille Day,No,,6.4,English,,,,Bastille Day
Beyblade Burst Rise: Season 1,No,,6.4,Spanish,,,,Beyblade Burst Rise
Derry Girls: Season 1,Yes,2018-12-21,6.4,English,2018.0,55.0,0.11636363636363636,Derry Girls
Doraemon: Season 1,No,,6.4,Japanese,,,,Doraemon
Creeped Out: Season 2,Yes,2019-10-04,6.4,English,2019.0,46.0,0.1391304347826087,Creeped Out
Fear Street Part 2: 1978,Yes,2021-07-09,6.4,English,2021.0,24.0,0.26666666666666666,Fear Street Part 2: 1978
Gabriel Iglesias: Stadium Fluffy,Yes,2022-10-18,6.4,English,2022.0,8.0,0.8,Gabriel Iglesias: Stadium Fluffy
After Life: Season 2,Yes,2020-04-24,6.4,English,2020.0,39.0,0.1641025641025641,After Life
Get Organized with The Home Edit: Season 2,Yes,2022-04-01,6.4,English,2022.0,15.0,0.4266666666666667,Get Organized with The Home Edit
Glitch Techs: Season 1,Yes,2020-02-21,6.4,English,2020.0,41.0,0.15609756097560976,Glitch Techs
How to Change Your Mind: Limited Series,No,2022-07-12,6.4,English,2022.0,12.0,0.5333333333333333,How to Change Your Mind: Limited Series
InuYasha: Season 5,No,,6.4,Korean,,,,InuYasha
Terminator Genisys,No,,6.3,English,,,,Terminator Genisys
Point Blank,Yes,2019-07-12,6.3,English,2019.0,48.0,0.13125,Point Blank
Pokémon Ultimate Journeys: The Series: Part 3,No,2023-06-23,6.3,English,2023.0,0.0,inf,Pokémon Ultimate Journeys: The Series
Rain or Shine: Season 1,No,,6.3,Korean,,,,Rain or Shine
Rambo: Last Blood,No,,6.3,English,,,,Rambo: Last Blood
Rugrats (1991): Season 2,No,,6.3,English,,,,Rugrats (1991)
Rumble (2021),No,,6.3,English,,,,Rumble (2021)
Stand by Me (1986),No,,6.3,English,,,,Stand by Me (1986)
Surviving R. Kelly Part III: The Final Chapter: Season 1,No,,6.3,English,,,,Surviving R. Kelly Part III: The Final Chapter
Vaathi,No,,6.3,English,,,,Vaathi
The Hollow: Season 1,Yes,2018-06-08,6.3,English,2018.0,62.0,0.10161290322580645,The Hollow
The Hunt (2020),No,,6.3,English,,,,The Hunt (2020)
The Lost Patient,Yes,2022-11-25,6.3,French,2022.0,7.0,0.9,The Lost Patient
The Promise: Season 1,No,,6.3,tl,,,,The Promise
The Purge: Election Year,No,,6.3,English,,,,The Purge: Election Year
Tobot Galaxy Detectives: Season 1,Yes,,6.3,Spanish,,,,Tobot Galaxy Detectives
Two Summers: Season 1,No,2022-06-03,6.3,nl,2022.0,13.0,0.4846153846153846,Two Summers
Men of Plastic,No,,6.3,Spanish,,,,Men of Plastic
Who Killed Sara?: Season 3,Yes,2022-05-18,6.3,Spanish,2022.0,14.0,0.45,Who Killed Sara?
Muscles & Mayhem: An Unauthorized Story of American Gladiators: Limited Series,Yes,2023-06-28,6.3,English,2023.0,0.0,inf,Muscles & Mayhem: An Unauthorized Story of American Gladiators: Limited Series
Peppermint (2018),No,,6.3,English,,,,Peppermint (2018)
Luna Nera: Season 1,Yes,2020-01-31,6.3,English,2020.0,42.0,0.15,Luna Nera
Greenhouse Academy: Season 2,Yes,2018-02-14,6.3,English,2018.0,65.0,0.09692307692307692,Greenhouse Academy
44 Cats: Season 1,Yes,,6.3,English,,,,44 Cats
Along Came a Spider,No,,6.3,English,,,,Along Came a Spider
Attack on Titan: Season 3 Part 1,No,,6.3,Japanese,,,,Attack on Titan
Barbie & Chelsea: The Lost Birthday,No,,6.3,English,,,,Barbie & Chelsea: The Lost Birthday
Battle: Los Angeles,No,,6.3,English,,,,Battle: Los Angeles
Charlie and the Chocolate Factory,No,,6.3,English,,,,Charlie and the Chocolate Factory
Dangerous Liaisons,Yes,2022-07-08,6.3,French,2022.0,12.0,0.525,Dangerous Liaisons
Furioza,Yes,2022-04-01,6.3,English,2022.0,15.0,0.42,Furioza
Control Z: Season 3,Yes,2022-07-06,6.3,English,2022.0,12.0,0.525,Control Z
Greenleaf: Season 3,Yes,2018-11-22,6.3,English,2018.0,56.0,0.1125,Greenleaf
I Used to Be Famous,Yes,2022-09-16,6.3,English,2022.0,10.0,0.63,I Used to Be Famous
Imposters: Season 1,No,,6.3,English,,,,Imposters
iZombie: Season 3,No,,6.3,English,,,,iZombie
JoJo's Bizarre Adventure: Golden Wind,No,2018-10-10,6.3,Japanese,2018.0,57.0,0.11052631578947368,JoJo's Bizarre Adventure: Golden Wind
LEGO: City Adventures: Season 1,No,,6.3,English,,,,LEGO: City Adventures
Lighter & Princess: Lighter and Princess,No,,6.3,Korean,,,,Lighter & Princess: Lighter and Princess
Holidate,Yes,2020-10-28,6.3,English,2020.0,32.0,0.196875,Holidate
Lucy (2014),No,,6.3,English,,,,Lucy (2014)
Skyfall,No,,6.2,English,,,,Skyfall
The Bourne Supremacy,No,,6.2,English,,,,The Bourne Supremacy
Tara VS. Bilal,No,,6.2,Spanish,,,,Tara VS. Bilal
Sniper: Legacy,No,,6.2,English,,,,Sniper: Legacy
Seal Team,No,2021-12-31,6.2,English,2021.0,18.0,0.34444444444444444,Seal Team
Sintonia: Season 3,Yes,2022-07-13,6.2,English,2022.0,12.0,0.5166666666666667,Sintonia
Seventh Son,No,,6.2,English,,,,Seventh Son
The Dragon Prince: Season 4,Yes,2022-11-03,6.2,English,2022.0,8.0,0.775,The Dragon Prince
The Circle: Season 2,Yes,2021-04-14,6.2,English,2021.0,27.0,0.22962962962962963,The Circle
"Young, Famous & African: Season 1",Yes,2022-03-18,6.2,English,2022.0,16.0,0.3875,"Young, Famous & African"
The Water Man,No,2021-07-09,6.2,English,2021.0,24.0,0.25833333333333336,The Water Man
The Way of the Househusband: Season 1,Yes,2021-04-08,6.2,Japanese,2021.0,27.0,0.22962962962962963,The Way of the Househusband
To the Bone,Yes,2017-07-14,6.2,English,2017.0,73.0,0.08493150684931507,To the Bone
Toy Boy: Season 2,No,2022-02-11,6.2,English,2022.0,17.0,0.3647058823529412,Toy Boy
Tyler Perry's Meet the Browns (2008),No,,6.2,English,,,,Tyler Perry's Meet the Browns (2008)
Ultimate Beastmaster: Survival of the Fittest,Yes,2018-08-31,6.2,English,2018.0,59.0,0.10508474576271187,Ultimate Beastmaster: Survival of the Fittest
Underworld (2003),No,,6.2,English,,,,Underworld (2003)
Valley of the Dead,Yes,2022-07-11,6.2,hr,2022.0,12.0,0.5166666666666667,Valley of the Dead
Partners in Crime (Philippines Movie),Yes,,6.2,English,,,,Partners in Crime (Philippines Movie)
Power Rangers Beast Morphers: Season 1,No,,6.2,English,,,,Power Rangers Beast Morphers
Madam Secretary: Season 5,No,,6.2,English,,,,Madam Secretary
Ouija: Origin of Evil,No,,6.2,English,,,,Ouija: Origin of Evil
F is for Family: Season 3,Yes,2018-11-30,6.2,English,2018.0,56.0,0.11071428571428572,F is for Family
A Babysitter's Guide to Monster Hunting,Yes,2020-10-15,6.2,English,2020.0,33.0,0.1878787878787879,A Babysitter's Guide to Monster Hunting
A Quiet Place (2018),No,,6.2,English,,,,A Quiet Place (2018)
Astro Boy (2009),No,,6.2,English,,,,Astro Boy (2009)
Benidorm (2007): Season 3,No,,6.2,English,,,,Benidorm (2007)
Creed II,No,,6.2,English,,,,Creed II
Death Note,Yes,2017-08-25,6.2,English,2017.0,71.0,0.08732394366197184,Death Note
El marginal: Season 1,No,2016-10-06,6.2,English,2016.0,82.0,0.07560975609756097,El marginal
72 Dangerous Places to Live: Season 1,Yes,,6.2,English,,,,72 Dangerous Places to Live
Focus (2015),No,,6.2,English,,,,Focus (2015)
Joker (2019),No,,6.2,English,,,,Joker (2019)
I AM A KILLER: Season 2,No,2020-01-31,6.2,English,2020.0,42.0,0.14761904761904762,I AM A KILLER
LEGO Ninjago: Masters of Spinjitzu: Hands of Time,No,,6.2,English,,,,LEGO Ninjago: Masters of Spinjitzu: Hands of Time
LEGO Ninjago: Season 3 Part 2 - Seabound,No,,6.2,English,,,,LEGO Ninjago
Never Back Down 2: The Beatdown,No,,6.2,English,,,,Never Back Down 2: The Beatdown
Instructions Not Included,No,,6.2,Spanish,,,,Instructions Not Included
I Will Be Your Bloom: Season 1,No,,6.2,Japanese,,,,I Will Be Your Bloom
Inhuman Resources: Limited Series,Yes,2020-05-15,6.2,French,2020.0,38.0,0.1631578947368421,Inhuman Resources: Limited Series
Pokémon Journeys: The Series: Part 1,No,2020-06-12,6.1,English,2020.0,37.0,0.16486486486486485,Pokémon Journeys: The Series
Marriage Story,Yes,2019-12-06,6.1,English,2019.0,43.0,0.14186046511627906,Marriage Story
Mighty Express: Season 7,Yes,2022-08-29,6.1,English,2022.0,10.0,0.61,Mighty Express
Muster Dogs: Season 1,No,,6.1,English,,,,Muster Dogs
My Hero Academia: Season 1,No,,6.1,Japanese,,,,My Hero Academia
My Little Pony: Friendship Is Magic: Season 4,No,,6.1,English,,,,My Little Pony: Friendship Is Magic
Mystic Pop-up Bar: Season 1,Yes,2020-05-20,6.1,Korean,2020.0,38.0,0.16052631578947368,Mystic Pop-up Bar
Partners for Justice: Season 1,No,,6.1,Korean,,,,Partners for Justice
Snowflake Mountain: Season 1,Yes,2022-06-22,6.1,English,2022.0,12.0,0.5083333333333333,Snowflake Mountain
The Dictator,No,,6.1,English,,,,The Dictator
The Nice Guys,No,,6.1,English,,,,The Nice Guys
The Protector: Season 4,Yes,2020-07-09,6.1,Turkish,2020.0,36.0,0.16944444444444443,The Protector
Too Old for Fairy Tales,Yes,2022-07-18,6.1,Polish,2022.0,12.0,0.5083333333333333,Too Old for Fairy Tales
Trailer Park Boys: Season 11,Yes,2017-03-31,6.1,English,2017.0,76.0,0.08026315789473684,Trailer Park Boys
Wedding Crashers,No,,6.1,English,,,,Wedding Crashers
Mad for Each Other: Season 1,Yes,2021-05-24,6.1,Korean,2021.0,26.0,0.23461538461538461,Mad for Each Other
The Originals: Season 5,No,,6.1,English,,,,The Originals
Love (and Trouble) in Paris: Season 1,No,,6.1,French,,,,Love (and Trouble) in Paris
Justice League (2017),No,,6.1,English,,,,Justice League (2017)
D.P.: Season 1,Yes,2021-08-27,6.1,English,2021.0,22.0,0.2772727272727273,D.P.
Informa: Season 1,No,,6.1,Japanese,,,,Informa
Airplane Mode,Yes,2020-01-22,6.1,Spanish,2020.0,42.0,0.14523809523809522,Airplane Mode
Along for the Ride,Yes,2022-05-06,6.1,English,2022.0,14.0,0.43571428571428567,Along for the Ride
Bee and PuppyCat: Part 1,Yes,2022-09-06,6.1,English,2022.0,10.0,0.61,Bee and PuppyCat
Birthcare Center,No,,6.1,Korean,,,,Birthcare Center
Codename: Tiranga,No,,6.1,Hindi,,,,Codename: Tiranga
Ben 10: Season 1,No,,6.1,English,,,,Ben 10
DC's Legends of Tomorrow: Season 2,No,,6.1,English,,,,DC's Legends of Tomorrow
Franco Escamilla: Eavesdropping,No,2022-10-22,6.1,Spanish,2022.0,8.0,0.7625,Franco Escamilla: Eavesdropping
Gecko's Garage - 3D: Season 2,No,,6.1,English,,,,Gecko's Garage - 3D
Heidi (2015): Season 2,No,,6.1,English,,,,Heidi (2015)
Hilda: Season 1,Yes,2018-09-21,6.1,English,2018.0,58.0,0.10517241379310344,Hilda
I Just Killed My Dad: Limited Series,Yes,2022-08-09,6.1,English,2022.0,11.0,0.5545454545454546,I Just Killed My Dad: Limited Series
Incantation,Yes,2022-07-08,6.1,Korean,2022.0,12.0,0.5083333333333333,Incantation
Sunny Bunnies: Season 6,Yes,,6.0,English,,,,Sunny Bunnies
Magic and Muscles,No,,6.0,Japanese,,,,Magic and Muscles
Meltdown: Three Mile Island: Limited Series,Yes,2022-05-04,6.0,English,2022.0,14.0,0.42857142857142855,Meltdown: Three Mile Island: Limited Series
No Good Nick: Part 2,Yes,2019-08-05,6.0,English,2019.0,48.0,0.125,No Good Nick
One Day at a Time: Season 3,Yes,2019-02-08,6.0,English,2019.0,53.0,0.11320754716981132,One Day at a Time
Recurrence,Yes,2022-07-27,6.0,tl,2022.0,11.0,0.5454545454545454,Recurrence
Rise of the Teenage Mutant Ninja Turtles: The Movie,Yes,2022-08-05,6.0,English,2022.0,11.0,0.5454545454545454,Rise of the Teenage Mutant Ninja Turtles: The Movie
Star Trek: The Next Generation: Season 3,No,,6.0,English,,,,Star Trek: The Next Generation
Yaksha: Ruthless Operations,Yes,2022-04-08,6.0,Korean,2022.0,15.0,0.4,Yaksha: Ruthless Operations
Legacies: Season 2,No,,6.0,English,,,,Legacies
The Book of Eli,No,,6.0,English,,,,The Book of Eli
The Boss Baby: Christmas Bonus,Yes,2022-12-06,6.0,English,2022.0,7.0,0.8571428571428571,The Boss Baby: Christmas Bonus
The Good Detective: Season 2,No,,6.0,Korean,,,,The Good Detective
The Larva Island Movie,Yes,2020-07-23,6.0,English,2020.0,36.0,0.16666666666666666,The Larva Island Movie
The Little Rascals (1994),No,,6.0,English,,,,The Little Rascals (1994)
The Princess Switch,Yes,2018-11-16,6.0,English,2018.0,56.0,0.10714285714285714,The Princess Switch
Love Like the Galaxy,No,,6.0,Spanish,,,,Love Like the Galaxy
Don't Pick Up the Phone: Limited Series,No,2022-12-14,6.0,English,2022.0,7.0,0.8571428571428571,Don't Pick Up the Phone: Limited Series
Larva: Season 2,Yes,,6.0,English,,,,Larva
DJ Cinderella,Yes,2019-06-14,6.0,Spanish,2019.0,49.0,0.12244897959183673,DJ Cinderella
Lara Croft Tomb Raider: The Cradle of Life,No,,6.0,English,,,,Lara Croft Tomb Raider: The Cradle of Life
A Whisker Away,Yes,2020-06-18,6.0,Japanese,2020.0,37.0,0.16216216216216217,A Whisker Away
Barbie Epic Road Trip,Yes,2022-10-25,6.0,English,2022.0,8.0,0.75,Barbie Epic Road Trip
Beckett,Yes,2021-08-13,6.0,English,2021.0,23.0,0.2608695652173913,Beckett
Brotherhood: Season 2,Yes,2022-05-11,6.0,Spanish,2022.0,14.0,0.42857142857142855,Brotherhood
Daddy's Little Girls,No,,6.0,English,,,,Daddy's Little Girls
Big Tree City: Season 1,Yes,2022-08-01,6.0,English,2022.0,11.0,0.5454545454545454,Big Tree City
Full House: Season 1,No,,6.0,Korean,,,,Full House
Go! Go! Cory Carson: Season 6,Yes,2021-10-21,6.0,English,2021.0,21.0,0.2857142857142857,Go! Go! Cory Carson
Have a nice day!,No,2023-03-10,6.0,Spanish,2023.0,4.0,1.5,Have a nice day!
How Do You Know,No,,6.0,English,,,,How Do You Know
Hunter X Hunter (2011): Season 6,No,,6.0,Japanese,,,,Hunter X Hunter (2011)
Johnny Test (2005): Season 5,No,,6.0,English,,,,Johnny Test (2005)
Kid-E-Cats: Season 1,No,,6.0,English,,,,Kid-E-Cats
The Fall: Season 3,No,2016-10-27,5.9,English,2016.0,81.0,0.0728395061728395,The Fall
Memoirs of a Geisha,No,,5.9,English,,,,Memoirs of a Geisha
Nihontouitsu Series: Season 1,No,,5.9,Japanese,,,,Nihontouitsu Series
Richie Rich: Season 2,No,2015-05-22,5.9,English,2015.0,99.0,0.0595959595959596,Richie Rich
Rocky IV,No,,5.9,English,,,,Rocky IV
Star Trek: Voyager: Season 4,No,,5.9,English,,,,Star Trek: Voyager
Thai Massage,No,,5.9,ne,,,,Thai Massage
The Bold Type: Season 4,No,,5.9,English,,,,The Bold Type
The Circle: Season 4,Yes,2022-05-04,5.9,English,2022.0,14.0,0.42142857142857143,The Circle
Wine Country,Yes,2019-05-10,5.9,English,2019.0,50.0,0.11800000000000001,Wine Country
The Healing Powers of Dude: Season 1,Yes,2020-01-13,5.9,English,2020.0,42.0,0.14047619047619048,The Healing Powers of Dude
The Mick: Season 2,No,,5.9,English,,,,The Mick
The Nutty Boy: Season 1,No,2022-10-12,5.9,Spanish,2022.0,9.0,0.6555555555555556,The Nutty Boy
The Punisher (2004),No,,5.9,English,,,,The Punisher (2004)
Trailer Park Boys: Season 12,Yes,2018-03-30,5.9,English,2018.0,64.0,0.0921875,Trailer Park Boys
Tribes of Europa: Season 1,Yes,2021-02-19,5.9,English,2021.0,29.0,0.20344827586206898,Tribes of Europa
Wentworth: Season 8,No,,5.9,English,,,,Wentworth
Ludik: Season 1,Yes,2022-08-26,5.9,English,2022.0,10.0,0.5900000000000001,Ludik
You’re Nothing Special: Season 1,Yes,2022-09-02,5.9,Spanish,2022.0,10.0,0.5900000000000001,You’re Nothing Special
Marie Antoinette (2006),No,,5.9,English,,,,Marie Antoinette (2006)
Night Stalker: The Hunt for a Serial Killer: Limited Series,Yes,2021-01-13,5.9,English,2021.0,30.0,0.19666666666666668,Night Stalker: The Hunt for a Serial Killer: Limited Series
LEGO Ninjago: Masters of Spinjitzu: Sons of Garmadon,No,,5.9,English,,,,LEGO Ninjago: Masters of Spinjitzu: Sons of Garmadon
Dora the Explorer: Season 5,No,,5.9,English,,,,Dora the Explorer
Legends of the Fall,No,,5.9,English,,,,Legends of the Fall
Avengement (2019),No,,5.9,English,,,,Avengement (2019)
Backtrace,No,,5.9,English,,,,Backtrace
Benidorm (2007): Season 4,No,,5.9,English,,,,Benidorm (2007)
Cable Girls: Season 3,Yes,2018-09-07,5.9,Spanish,2018.0,59.0,0.1,Cable Girls
Carmen Sandiego: Season 1,Yes,2019-01-18,5.9,English,2019.0,54.0,0.10925925925925926,Carmen Sandiego
Castlevania: Season 3,Yes,2020-03-05,5.9,English,2020.0,40.0,0.14750000000000002,Castlevania
Choose or Die,Yes,2022-04-15,5.9,English,2022.0,15.0,0.39333333333333337,Choose or Die
Creeped Out: Season 1,Yes,2018-10-04,5.9,English,2018.0,58.0,0.10172413793103449,Creeped Out
3Below: Tales of Arcadia: Part 2,Yes,2019-07-12,5.9,English,2019.0,48.0,0.12291666666666667,3Below: Tales of Arcadia
Duck Duck Goose,No,2018-07-20,5.9,English,2018.0,60.0,0.09833333333333334,Duck Duck Goose
Fantastic Beasts: The Secrets of Dumbledore,No,,5.9,English,,,,Fantastic Beasts: The Secrets of Dumbledore
Good Morning Call: Season 1,Yes,2016-02-11,5.9,Japanese,2016.0,90.0,0.06555555555555556,Good Morning Call
"Good Morning, Verônica: Season 2",Yes,2022-08-03,5.9,Spanish,2022.0,11.0,0.5363636363636364,"Good Morning, Verônica"
Jaguar: Season 1,Yes,2021-09-22,5.9,English,2021.0,22.0,0.2681818181818182,Jaguar
Johnny Test (2005): Season 4,No,,5.9,English,,,,Johnny Test (2005)
Kung Fu Hustle,No,,5.9,zh-cn,,,,Kung Fu Hustle
F is for Family: Season 4,Yes,2020-06-12,5.9,English,2020.0,37.0,0.15945945945945947,F is for Family
Somebody Feed Phil: Season 6,Yes,2022-10-18,5.8,English,2022.0,8.0,0.725,Somebody Feed Phil
The Adventures of Puss in Boots: Season 3,No,2016-07-15,5.8,English,2016.0,85.0,0.06823529411764706,The Adventures of Puss in Boots
Stuart Little,No,,5.8,English,,,,Stuart Little
Star Trek: The Next Generation: Season 4,No,,5.8,English,,,,Star Trek: The Next Generation
Puffin Rock: Season 2,Yes,2016-08-17,5.8,English,2016.0,84.0,0.06904761904761905,Puffin Rock
Roman Empire: Caligula: The Mad Emperor,Yes,2019-04-05,5.8,English,2019.0,52.0,0.11153846153846153,Roman Empire: Caligula: The Mad Emperor
Risqué Business: Japan: Season 1,Yes,2023-04-25,5.8,Korean,2023.0,2.0,2.9,Risqué Business: Japan
The Father Who Moves Mountains,Yes,2021-09-17,5.8,ro,2021.0,22.0,0.2636363636363636,The Father Who Moves Mountains
Pokémon the Movie: Secrets of the Jungle,No,2021-10-08,5.8,English,2021.0,21.0,0.2761904761904762,Pokémon the Movie: Secrets of the Jungle
The Circle: Season 3,Yes,2021-09-08,5.8,English,2021.0,22.0,0.2636363636363636,The Circle
The Rise of Phoenixes: Season 1,No,2018-09-14,5.8,Korean,2018.0,58.0,0.09999999999999999,The Rise of Phoenixes
The Girl Next Door (2004),No,,5.8,English,,,,The Girl Next Door (2004)
The Last Man on Earth,No,,5.8,Spanish,,,,The Last Man on Earth
The Marriage App,Yes,2022-12-07,5.8,Spanish,2022.0,7.0,0.8285714285714285,The Marriage App
The Spiderwick Chronicles,No,,5.8,English,,,,The Spiderwick Chronicles
Time to Hunt,Yes,2020-04-23,5.8,Korean,2020.0,39.0,0.14871794871794872,Time to Hunt
Trailer Park Boys: Season 2,Yes,2010-09-22,5.8,English,2010.0,155.0,0.03741935483870967,Trailer Park Boys
Troy,No,,5.8,English,,,,Troy
Young Wallander: Season 1,Yes,2020-09-03,5.8,English,2020.0,34.0,0.17058823529411765,Young Wallander
Naruto Shippuden: Season 6,No,,5.8,Japanese,,,,Naruto Shippuden
Pieces of a Woman,Yes,2021-01-07,5.8,English,2021.0,30.0,0.19333333333333333,Pieces of a Woman
Attack on Titan: Season 3 Part 2,No,,5.8,Japanese,,,,Attack on Titan
Mystery of the Dragon Seal: Journey to China,No,,5.8,English,,,,Mystery of the Dragon Seal: Journey to China
Designated Survivor: 60 Days: Season 1,Yes,2019-07-01,5.8,Korean,2019.0,49.0,0.1183673469387755,Designated Survivor: 60 Days
Absurd Planet: Season 1,Yes,2020-04-22,5.8,English,2020.0,39.0,0.14871794871794872,Absurd Planet
Men in Black,No,,5.8,English,,,,Men in Black
Accepted (2006),No,,5.8,English,,,,Accepted (2006)
After Life: Season 3,Yes,2022-01-14,5.8,English,2022.0,18.0,0.3222222222222222,After Life
Aquí no hay quien viva (2003): Temporada 2,No,,5.8,English,,,,Aquí no hay quien viva (2003): Temporada 2
Big Momma's House 2,No,,5.8,English,,,,Big Momma's House 2
DC's Legends of Tomorrow: Season 3,No,,5.8,English,,,,DC's Legends of Tomorrow
Deadwind: Season 3,Yes,2022-05-15,5.8,lt,2022.0,14.0,0.41428571428571426,Deadwind
Aquí no hay quien viva (2003): Temporada 3,No,,5.8,English,,,,Aquí no hay quien viva (2003): Temporada 3
Down to Earth with Zac Efron: Season 2: Down Under,No,2022-11-11,5.8,English,2022.0,8.0,0.725,Down to Earth with Zac Efron
Gnome Alone,No,2018-10-19,5.8,English,2018.0,57.0,0.10175438596491228,Gnome Alone
Heaven Is for Real,No,,5.8,English,,,,Heaven Is for Real
I Am Mother,No,2019-06-07,5.8,English,2019.0,49.0,0.1183673469387755,I Am Mother
I Think You Should Leave with Tim Robinson: Season 3,Yes,2023-05-30,5.8,English,2023.0,1.0,5.8,I Think You Should Leave with Tim Robinson
Jim Jefferies: High & Dry,Yes,2023-02-14,5.8,English,2023.0,5.0,1.16,Jim Jefferies: High & Dry
Fistful of Vengeance,Yes,2022-02-17,5.8,English,2022.0,17.0,0.3411764705882353,Fistful of Vengeance
Labyu With An Accent,Yes,,5.8,English,,,,Labyu With An Accent
Life in Colour with David Attenborough: Limited Series,No,2021-04-22,5.8,English,2021.0,27.0,0.21481481481481482,Life in Colour with David Attenborough: Limited Series
Rebecca,Yes,2020-10-21,5.7,English,2020.0,33.0,0.17272727272727273,Rebecca
STAND BY ME Doraemon 2,No,2021-09-30,5.7,Japanese,2021.0,21.0,0.27142857142857146,STAND BY ME Doraemon 2
She-Ra and the Princesses of Power: Season 1,Yes,2018-11-13,5.7,English,2018.0,56.0,0.10178571428571428,She-Ra and the Princesses of Power
Selling Sunset: Season 3,Yes,2020-08-07,5.7,English,2020.0,35.0,0.16285714285714287,Selling Sunset
Rocky II,No,,5.7,English,,,,Rocky II
Nicky Jam: El Ganador: Season 1,Yes,2018-11-30,5.7,English,2018.0,56.0,0.10178571428571428,Nicky Jam: El Ganador
Raangi,No,,5.7,English,,,,Raangi
Numberblocks: Season 2,No,,5.7,English,,,,Numberblocks
Mumbai Mafia: Police vs The Underworld,Yes,2023-01-06,5.7,English,2023.0,6.0,0.9500000000000001,Mumbai Mafia: Police vs The Underworld
Straight Outta Compton,No,,5.7,English,,,,Straight Outta Compton
Memories of the Alhambra: Season 1,Yes,2018-12-01,5.7,Korean,2018.0,56.0,0.10178571428571428,Memories of the Alhambra
Star Trek: Voyager: Season 2,No,,5.7,English,,,,Star Trek: Voyager
THE VILLAGE,No,2023-06-16,5.7,Spanish,2023.0,0.0,inf,THE VILLAGE
Terminator 2: Judgment Day,No,,5.7,English,,,,Terminator 2: Judgment Day
The Best Man Holiday,No,,5.7,English,,,,The Best Man Holiday
The Boss Baby: Family Business,No,,5.7,English,,,,The Boss Baby: Family Business
The End of the F***ing World: Season 2,Yes,2019-11-05,5.7,English,2019.0,44.0,0.12954545454545455,The End of the F***ing World
The Lulú Club,No,,5.7,Catalan,,,,The Lulú Club
The Marksman (2021),No,,5.7,English,,,,The Marksman (2021)
The Road to El Dorado,No,,5.7,English,,,,The Road to El Dorado
The Shallows,No,,5.7,English,,,,The Shallows
True to Love,No,,5.7,Korean,,,,True to Love
You Don't Mess with the Zohan,No,,5.7,English,,,,You Don't Mess with the Zohan
Z Nation: Season 3,No,,5.7,English,,,,Z Nation
Marcella: Season 2,Yes,2018-06-08,5.7,English,2018.0,62.0,0.09193548387096774,Marcella
