title,avail_global,date_release,hours_viewed,language,year,months_out,views_per_month,series
Hotel Transylvania 2,No,,67.0,English,,,,Hotel Transylvania 2
Stranger Things 3,Yes,2019-07-04,67.0,English,2019.0,49.0,1.3673469387755102,Stranger Things 3
Masha and the Bear: Season 1,No,,66.7,English,,,,Masha and the Bear
Outlander: Season 1,No,2016-03-31,66.5,English,2016.0,88.0,0.7556818181818182,Outlander
Grizzy and the Lemmings: Season 2,No,,66.0,English,,,,Grizzy and the Lemmings
Single’s Inferno: Season 2,Yes,2022-12-13,65.9,Korean,2022.0,7.0,9.414285714285715,Single’s Inferno
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,65.3,English,2022.0,6.0,10.883333333333333,The Witcher: Blood Origin: Limited Series
The Nurse: Limited Series,Yes,2023-04-27,65.2,da,2023.0,2.0,32.6,The Nurse: Limited Series
The Watcher: Season 1,Yes,2022-10-13,64.4,English,2022.0,9.0,7.155555555555556,The Watcher
Jumanji: The Next Level,No,,64.3,English,,,,Jumanji: The Next Level
Suits (2011): Season 4,Yes,,64.2,English,,,,Suits (2011)
Gilmore Girls: Season 6,Yes,,63.9,English,,,,Gilmore Girls
The Tailor: Season 1,Yes,2023-05-02,63.9,Polish,2023.0,2.0,31.95,The Tailor
All American: Season 5,No,,63.7,English,,,,All American
Peppa Pig: Season 2,No,,63.7,English,,,,Peppa Pig
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,63.5,English,2022.0,9.0,7.055555555555555,DAHMER: Monster: The Jeffrey Dahmer Story
The Blacklist: Season 3,No,,63.5,English,,,,The Blacklist
Narvik,No,2023-01-23,63.1,English,2023.0,5.0,12.620000000000001,Narvik
Home (2015),No,,62.8,English,,,,Home (2015)
The Sea Beast,Yes,2022-07-08,62.7,English,2022.0,12.0,5.2250000000000005,The Sea Beast
The Walking Dead: Season 4,No,,62.3,English,,,,The Walking Dead
Harry & Meghan: Limited Series,Yes,2022-12-08,62.0,English,2022.0,7.0,8.857142857142858,Harry & Meghan: Limited Series
The Walking Dead: Season 5,No,,62.0,English,,,,The Walking Dead
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,61.8,English,2023.0,5.0,12.36,My Dad the Bounty Hunter
Dog Gone,Yes,2023-01-13,61.6,English,2023.0,6.0,10.266666666666667,Dog Gone
Maid: Limited Series,Yes,2021-10-01,61.5,English,2021.0,21.0,2.9285714285714284,Maid: Limited Series
Pasión de Gavilanes: Season 2,No,,61.5,English,,,,Pasión de Gavilanes
A Man Called Otto,No,,61.3,English,,,,A Man Called Otto
Peaky Blinders: Season 1,No,2014-09-30,61.1,English,2014.0,106.0,0.5764150943396227,Peaky Blinders
Victorious: Season 1,No,,61.1,English,,,,Victorious
Never Have I Ever: Season 1,Yes,2020-04-27,61.0,English,2020.0,39.0,1.564102564102564,Never Have I Ever
THE DAYS: Limited Series,No,2023-06-01,60.8,English,2023.0,1.0,60.8,THE DAYS: Limited Series
Eva Lasting: Season 1,Yes,2023-02-15,60.6,Spanish,2023.0,4.0,15.15,Eva Lasting
Unseen: Season 1,Yes,2023-03-29,60.1,English,2023.0,3.0,20.033333333333335,Unseen
Narcos: Season 1,Yes,2015-08-28,59.9,English,2015.0,95.0,0.6305263157894737,Narcos
The Walking Dead: Season 6,No,,59.8,English,,,,The Walking Dead
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,59.6,English,2023.0,6.0,9.933333333333334,MADOFF: The Monster of Wall Street: Limited Series
